EuringCode,PECBMS_species_name,Year,Index,Lower_CL,Upper_CL,Index_imputed_SE
12000,Turdus_philomelos,1996,75.6680666842147,69.926410757116,81.4097226113134,2.92941628933609
12000,Turdus_philomelos,1997,72.3186793998358,66.9497252651515,77.6876335345201,2.73926231361444
12000,Turdus_philomelos,1998,76.8689717557542,71.4415674616509,82.2963760498575,2.7690838235221
12000,Turdus_philomelos,1999,77.9536817467993,72.5198902338655,83.3874732597331,2.77234260863969
12000,Turdus_philomelos,2000,78.0577207590983,72.7059324769834,83.4095090412132,2.73050422556882
12000,Turdus_philomelos,2001,85.7434023278542,80.0627141101349,91.4240905455735,2.89831031516292
12000,Turdus_philomelos,2002,89.3350345945692,83.4091487235253,95.2609204656131,3.02341115869588
12000,Turdus_philomelos,2003,88.5194631727308,82.6446985208447,94.3942278246169,2.99732890402352
12000,Turdus_philomelos,2004,88.6773847472416,82.8175104455878,94.5372590488954,2.98973178655804
12000,Turdus_philomelos,2005,84.7181236838095,78.6612840028594,90.7749633647595,3.09022432701533
12000,Turdus_philomelos,2006,81.7602662251918,75.9265236551772,87.5940087952064,2.97639927041561
12000,Turdus_philomelos,2007,83.8423439119063,77.6543679742004,90.0303198496122,3.1571305804622
12000,Turdus_philomelos,2008,89.9662431156374,83.5239240742828,96.408562156992,3.28689747007889
12000,Turdus_philomelos,2009,91.7432705318677,85.3139128695113,98.1726281942241,3.28028452161039
12000,Turdus_philomelos,2010,89.5567501781377,83.6319207428244,95.481579613451,3.02287216087412
12000,Turdus_philomelos,2011,91.1913304543711,85.0063936483716,97.3762672603706,3.15558000306097
12000,Turdus_philomelos,2012,92.0530478504471,85.763410085776,98.3426856151182,3.20899885952607
12000,Turdus_philomelos,2013,83.3532991041721,77.7435425425004,88.9630556658438,2.86212069473045
12000,Turdus_philomelos,2014,89.1965567935973,83.3011694306721,95.0919441565225,3.00785069537
12000,Turdus_philomelos,2015,98.8625453268053,92.3591217065624,105.365968947048,3.31807327563414
12000,Turdus_philomelos,2016,101.600130369904,94.7786126984963,108.421648041312,3.48036615888147
12000,Turdus_philomelos,2017,105.155238813225,98.056065564487,112.254412061963,3.62202716772347
12000,Turdus_philomelos,2018,94.083135821512,87.6378184388896,100.528453204134,3.28842723603182
12000,Turdus_philomelos,2019,102.842594425071,95.7264762732579,109.958712576884,3.63067252643526
